1.jpg  ,faces:18  ,dimension:228 x 221  ,timetaken:0.08811473846435547
2.jpg  ,faces:2  ,dimension:194 x 259  ,timetaken:0.013981342315673828
3.jpg  ,faces:0  ,dimension:186 x 271  ,timetaken:0.011569976806640625
4.jpg  ,faces:0  ,dimension:201 x 251  ,timetaken:0.013177633285522461
5.jpg  ,faces:0  ,dimension:220 x 220  ,timetaken:0.005593776702880859
6.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.011800527572631836
7.jpg  ,faces:0  ,dimension:32 x 32  ,timetaken:4.0531158447265625e-05
8.jpg  ,faces:0  ,dimension:165 x 306  ,timetaken:0.009218454360961914
9.jpg  ,faces:4  ,dimension:168 x 299  ,timetaken:0.017823457717895508
10.jpg  ,faces:10  ,dimension:160 x 295  ,timetaken:0.028120040893554688
11.jpg  ,faces:7  ,dimension:183 x 275  ,timetaken:0.03025507926940918
12.jpg  ,faces:0  ,dimension:225 x 225  ,timetaken:0.008936166763305664
13.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.018003463745117188
14.jpg  ,faces:1  ,dimension:225 x 225  ,timetaken:0.01334381103515625
15.jpg  ,faces:8  ,dimension:159 x 318  ,timetaken:0.021728038787841797
16.jpg  ,faces:0  ,dimension:32 x 32  ,timetaken:4.9114227294921875e-05
17.jpg  ,faces:9  ,dimension:250 x 202  ,timetaken:0.027886390686035156
18.jpg  ,faces:5  ,dimension:129 x 389  ,timetaken:0.01650524139404297
19.jpg  ,faces:0  ,dimension:183 x 276  ,timetaken:0.017839431762695312
20.jpg  ,faces:5  ,dimension:187 x 270  ,timetaken:0.026118755340576172
21.jpg  ,faces:1  ,dimension:192 x 262  ,timetaken:0.014010906219482422
22.jpg  ,faces:2  ,dimension:176 x 287  ,timetaken:0.017420053482055664
23.jpg  ,faces:0  ,dimension:174 x 290  ,timetaken:0.010066747665405273
24.jpg  ,faces:9  ,dimension:240 x 210  ,timetaken:0.04013562202453613
25.jpg  ,faces:0  ,dimension:161 x 313  ,timetaken:0.010913372039794922
26.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.016181230545043945
27.jpg  ,faces:4  ,dimension:198 x 254  ,timetaken:0.015390396118164062
28.jpg  ,faces:3  ,dimension:183 x 275  ,timetaken:0.020050764083862305
29.jpg  ,faces:3  ,dimension:183 x 276  ,timetaken:0.01597285270690918
30.jpg  ,faces:3  ,dimension:175 x 288  ,timetaken:0.017773151397705078
31.jpg  ,faces:4  ,dimension:169 x 299  ,timetaken:0.013283491134643555
32.jpg  ,faces:2  ,dimension:194 x 259  ,timetaken:0.014874696731567383
33.jpg  ,faces:2  ,dimension:162 x 311  ,timetaken:0.011516094207763672
34.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.014371395111083984
35.jpg  ,faces:0  ,dimension:162 x 311  ,timetaken:0.009223222732543945
36.jpg  ,faces:4  ,dimension:172 x 293  ,timetaken:0.014576196670532227
37.jpg  ,faces:1  ,dimension:168 x 300  ,timetaken:0.012651681900024414
38.jpg  ,faces:5  ,dimension:174 x 289  ,timetaken:0.01409912109375
39.jpg  ,faces:0  ,dimension:156 x 324  ,timetaken:0.00507664680480957
40.jpg  ,faces:2  ,dimension:225 x 225  ,timetaken:0.011686325073242188
41.jpg  ,faces:4  ,dimension:127 x 396  ,timetaken:0.019639968872070312
42.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.009293794631958008
43.jpg  ,faces:0  ,dimension:189 x 267  ,timetaken:0.010500192642211914
44.jpg  ,faces:5  ,dimension:184 x 274  ,timetaken:0.02228546142578125
45.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.007602691650390625
46.jpg  ,faces:1  ,dimension:299 x 168  ,timetaken:0.01205897331237793
47.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.009378194808959961
48.jpg  ,faces:0  ,dimension:189 x 266  ,timetaken:0.012417078018188477
49.jpg  ,faces:0  ,dimension:160 x 315  ,timetaken:0.008739471435546875
50.jpg  ,faces:6  ,dimension:225 x 225  ,timetaken:0.016785383224487305
51.jpg  ,faces:3  ,dimension:183 x 275  ,timetaken:0.02021193504333496
52.jpg  ,faces:0  ,dimension:32 x 32  ,timetaken:4.172325134277344e-05
53.jpg  ,faces:3  ,dimension:183 x 275  ,timetaken:0.015834808349609375
54.jpg  ,faces:9  ,dimension:241 x 209  ,timetaken:0.018298625946044922
55.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.010993003845214844
56.jpg  ,faces:3  ,dimension:159 x 318  ,timetaken:0.018082618713378906
57.jpg  ,faces:3  ,dimension:168 x 299  ,timetaken:0.012896537780761719
58.jpg  ,faces:2  ,dimension:168 x 300  ,timetaken:0.016208887100219727
59.jpg  ,faces:3  ,dimension:192 x 262  ,timetaken:0.017516374588012695
60.jpg  ,faces:8  ,dimension:202 x 249  ,timetaken:0.03394794464111328
61.jpg  ,faces:0  ,dimension:159 x 318  ,timetaken:0.010377168655395508
62.jpg  ,faces:0  ,dimension:311 x 162  ,timetaken:0.009333610534667969
63.jpg  ,faces:5  ,dimension:182 x 276  ,timetaken:0.01543283462524414
64.jpg  ,faces:1  ,dimension:151 x 334  ,timetaken:0.012819051742553711
65.jpg  ,faces:6  ,dimension:181 x 279  ,timetaken:0.021124839782714844
66.jpg  ,faces:24  ,dimension:225 x 225  ,timetaken:0.03190112113952637
67.jpg  ,faces:20  ,dimension:177 x 284  ,timetaken:0.034155845642089844
68.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.0188446044921875
69.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.014345169067382812
70.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.010552167892456055
71.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.011807441711425781
72.jpg  ,faces:0  ,dimension:193 x 262  ,timetaken:0.008315563201904297
73.jpg  ,faces:9  ,dimension:248 x 203  ,timetaken:0.029050827026367188
74.jpg  ,faces:5  ,dimension:144 x 351  ,timetaken:0.01766037940979004
75.jpg  ,faces:4  ,dimension:231 x 218  ,timetaken:0.01828145980834961
76.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.007593870162963867
77.jpg  ,faces:11  ,dimension:192 x 262  ,timetaken:0.027216196060180664
78.jpg  ,faces:3  ,dimension:170 x 297  ,timetaken:0.014934778213500977
79.jpg  ,faces:2  ,dimension:178 x 283  ,timetaken:0.013502120971679688
80.jpg  ,faces:3  ,dimension:183 x 275  ,timetaken:0.015925168991088867
81.jpg  ,faces:5  ,dimension:225 x 225  ,timetaken:0.01586747169494629
82.jpg  ,faces:19  ,dimension:242 x 208  ,timetaken:0.026223421096801758
83.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.008658885955810547
84.jpg  ,faces:0  ,dimension:130 x 387  ,timetaken:0.008201360702514648
85.jpg  ,faces:2  ,dimension:209 x 241  ,timetaken:0.01963639259338379
86.jpg  ,faces:0  ,dimension:157 x 322  ,timetaken:0.007578849792480469
87.jpg  ,faces:0  ,dimension:168 x 300  ,timetaken:0.011485099792480469
88.jpg  ,faces:2  ,dimension:225 x 225  ,timetaken:0.011685609817504883
89.jpg  ,faces:1  ,dimension:191 x 263  ,timetaken:0.009512662887573242
90.jpg  ,faces:6  ,dimension:179 x 281  ,timetaken:0.017694473266601562
91.jpg  ,faces:1  ,dimension:183 x 276  ,timetaken:0.011921882629394531
92.jpg  ,faces:0  ,dimension:225 x 225  ,timetaken:0.009920597076416016
93.jpg  ,faces:0  ,dimension:183 x 275  ,timetaken:0.010240793228149414
94.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.00593113899230957
95.jpg  ,faces:1  ,dimension:192 x 262  ,timetaken:0.010006189346313477
96.jpg  ,faces:1  ,dimension:275 x 183  ,timetaken:0.014404058456420898
97.jpg  ,faces:2  ,dimension:183 x 275  ,timetaken:0.015112876892089844
98.jpg  ,faces:2  ,dimension:175 x 287  ,timetaken:0.013370513916015625
99.jpg  ,faces:2  ,dimension:188 x 268  ,timetaken:0.013461112976074219
100.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.007869958877563477
101.jpg  ,faces:0  ,dimension:194 x 259  ,timetaken:0.00696873664855957
102.jpg  ,faces:1  ,dimension:194 x 259  ,timetaken:0.011483430862426758
103.jpg  ,faces:4  ,dimension:206 x 245  ,timetaken:0.02507305145263672
104.jpg  ,faces:3  ,dimension:145 x 348  ,timetaken:0.01535344123840332
105.jpg  ,faces:1  ,dimension:194 x 259  ,timetaken:0.012663125991821289
106.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.01346278190612793
107.jpg  ,faces:5  ,dimension:200 x 252  ,timetaken:0.01447153091430664
108.jpg  ,faces:1  ,dimension:225 x 224  ,timetaken:0.012932538986206055
109.jpg  ,faces:4  ,dimension:204 x 247  ,timetaken:0.014827489852905273
110.jpg  ,faces:4  ,dimension:153 x 328  ,timetaken:0.012077808380126953
111.jpg  ,faces:4  ,dimension:193 x 262  ,timetaken:0.015450477600097656
112.jpg  ,faces:3  ,dimension:183 x 275  ,timetaken:0.015165328979492188
113.jpg  ,faces:1  ,dimension:251 x 200  ,timetaken:0.010912179946899414
114.jpg  ,faces:2  ,dimension:201 x 251  ,timetaken:0.014176368713378906
115.jpg  ,faces:0  ,dimension:44 x 120  ,timetaken:0.0018048286437988281
116.jpg  ,faces:0  ,dimension:225 x 225  ,timetaken:0.009755134582519531
117.jpg  ,faces:1  ,dimension:195 x 258  ,timetaken:0.010154008865356445
118.jpg  ,faces:0  ,dimension:149 x 338  ,timetaken:0.01598525047302246
119.jpg  ,faces:5  ,dimension:164 x 307  ,timetaken:0.03625798225402832
120.jpg  ,faces:0  ,dimension:170 x 297  ,timetaken:0.016448259353637695
121.jpg  ,faces:3  ,dimension:168 x 299  ,timetaken:0.021206378936767578
122.jpg  ,faces:1  ,dimension:183 x 275  ,timetaken:0.013693094253540039
123.jpg  ,faces:0  ,dimension:188 x 269  ,timetaken:0.008750200271606445
124.jpg  ,faces:0  ,dimension:24 x 24  ,timetaken:4.4345855712890625e-05
125.jpg  ,faces:8  ,dimension:131 x 384  ,timetaken:0.028522491455078125
126.jpg  ,faces:12  ,dimension:253 x 199  ,timetaken:0.03189587593078613
